taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5789284	Onychoprion fuscatus (Linnaeus, 1766)	5789284	Onychoprion fuscatus (Linnaeus, 1766)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Onychoprion	3241980	Onychoprion fuscatus	5789284	LC
9409884	Lanius humeralis Stanley, 1814	9409884	Lanius humeralis Stanley, 1814	156	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Laniidae	9315	Lanius	2483315	Lanius humeralis	9409884	NE
2480830	Bubulcus ibis (Linnaeus, 1758)	2480830	Bubulcus ibis (Linnaeus, 1758)	547	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Bubulcus	2480829	Bubulcus ibis	2480830	LC
2488949	Oriolus oriolus (Linnaeus, 1758)	2488949	Oriolus oriolus (Linnaeus, 1758)	131	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Oriolidae	5708	Oriolus	2488947	Oriolus oriolus	2488949	LC
2488954	Oriolus chlorocephalus Shelley, 1896	2488954	Oriolus chlorocephalus Shelley, 1896	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Oriolidae	5708	Oriolus	2488947	Oriolus chlorocephalus	2488954	LC
2481725	Tringa erythropus (Pallas, 1764)	2481725	Tringa erythropus (Pallas, 1764)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tringa	2481709	Tringa erythropus	2481725	LC
2482100	Burhinus oedicnemus (Linnaeus, 1758)	2482100	Burhinus oedicnemus (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Burhinidae	9697	Burhinus	2482094	Burhinus oedicnemus	2482100	LC
2489214	Delichon urbicum (Linnaeus, 1758)	2489214	Delichon urbicum (Linnaeus, 1758)	52	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Delichon	2489213	Delichon urbicum	2489214	LC
2493536	Sylvietta leucophrys Sharpe, 1891	2493536	Sylvietta leucophrys Sharpe, 1891	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Macrosphenidae	6100868	Sylvietta	2493534	Sylvietta leucophrys	2493536	LC
2493987	Quelea quelea (Linnaeus, 1758)	2493987	Quelea quelea (Linnaeus, 1758)	164	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Quelea	2493986	Quelea quelea	2493987	LC
2497870	Scotopelia peli Bonaparte, 1850	2497870	Scotopelia peli Bonaparte, 1850	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Scotopelia	2497868	Scotopelia peli	2497870	LC
2481741	Calidris ferruginea (Pontoppidan, 1763)	2481741	Calidris ferruginea (Pontoppidan, 1763)	50	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris ferruginea	2481741	NT
2482479	Corvus ruficollis Lesson, 1831	2482479	Corvus ruficollis Lesson, 1831	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Corvidae	5235	Corvus	2482468	Corvus ruficollis	2482479	LC
5227916	Francolinus psilolaemus G.R.Gray, 1867	6101188	Scleroptila psilolaema (G.R.Gray, 1867)	7	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Scleroptila	2473536	Scleroptila psilolaema	6101188	NE
6100754	Ceuthmochares australis Sharpe, 1873	6100754	Ceuthmochares australis Sharpe, 1873	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Ceuthmochares	2496448	Ceuthmochares australis	6100754	LC
2492446	Sheppardia aequatorialis (Jackson, 1906)	2492446	Sheppardia aequatorialis (Jackson, 1906)	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Sheppardia	2492445	Sheppardia aequatorialis	2492446	LC
2492590	Cossypha niveicapilla (Lafresnaye, 1838)	2492590	Cossypha niveicapilla (Lafresnaye, 1838)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Cossypha	2492580	Cossypha niveicapilla	2492590	LC
2492712	Apalis rufogularis (Fraser, 1843)	2492712	Apalis rufogularis (Fraser, 1843)	28	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cisticolidae	9293	Apalis	2492701	Apalis rufogularis	2492712	LC
2493663	Estrilda charmosyna (Reichenow, 1881)	2493663	Estrilda charmosyna (Reichenow, 1881)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Estrilda	2493650	Estrilda charmosyna	2493663	LC
2494061	Ploceus baglafecht (Daudin, 1802)	2494061	Ploceus baglafecht (Daudin, 1802)	911	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Ploceidae	9336	Ploceus	2494008	Ploceus baglafecht	2494061	LC
2498001	Sarkidiornis melanotos (Pennant, 1769)	2498001	Sarkidiornis melanotos (Pennant, 1769)	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Sarkidiornis	2498000	Sarkidiornis melanotos	2498001	LC
2493718	Pytilia afra (Gmelin, 1789)	2493718	Pytilia afra (Gmelin, 1789)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Pytilia	2493713	Pytilia afra	2493718	LC
2493726	Uraeginthus angolensis (Linnaeus, 1758)	2493726	Uraeginthus angolensis (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Uraeginthus	2493721	Uraeginthus angolensis	2493726	LC
6100808	Arizelocichla tephrolaema (G.R.Gray, 1862)	6100808	Arizelocichla tephrolaema (G.R.Gray, 1862)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pycnonotidae	5277	Arizelocichla	7340423	Arizelocichla tephrolaema	6100808	LC
6100937	Poeoptera femoralis (Richmond, 1897)	6100937	Poeoptera femoralis (Richmond, 1897)	23	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Poeoptera	2489058	Poeoptera femoralis	6100937	EN
2474830	Rallus caerulescens Gmelin, 1789	2474830	Rallus caerulescens Gmelin, 1789	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Gruiformes	1493	Rallidae	9342	Rallus	2474794	Rallus caerulescens	2474830	LC
2492593	Cossypha natalensis A.Smith, 1840	2492593	Cossypha natalensis A.Smith, 1840	49	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Cossypha	2492580	Cossypha natalensis	2492593	LC
5231193	Passer griseus (Vieillot, 1817)	5231193	Passer griseus (Vieillot, 1817)	226	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passeridae	5264	Passer	2492321	Passer griseus	5231193	LC
5231993	Centropus monachus Ruppell, 1837	5231993	Centropus monachus Ruppell, 1837	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Cuculiformes	1492	Cuculidae	9309	Centropus	2496524	Centropus monachus	5231993	LC
6093642	Melaniparus albiventris (Shelley, 1881)	2487937	Parus albiventris Shelley, 1881	211	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Paridae	9327	Parus	2487923	Parus albiventris	2487937	LC
6095032	Cecropis abyssinica (Guerin-Meneville, 1843)	6095032	Cecropis abyssinica (Guerin-Meneville, 1843)	235	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Cecropis	6085729	Cecropis abyssinica	6095032	LC
2490906	Zoothera gurneyi (Hartlaub, 1864)	6100889	Geokichla gurneyi (Hartlaub, 1864)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Geokichla	8017997	Geokichla gurneyi	6100889	LC
2498445	Phoeniculus damarensis (Ogilvie-Grant, 1901)	2498445	Phoeniculus damarensis (Ogilvie-Grant, 1901)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Bucerotiformes	716	Phoeniculidae	6178	Phoeniculus	2498437	Phoeniculus damarensis	2498445	LC
7342089	Pseudoalcippe abyssinica (Rüppell, 1840)	7342089	Pseudoalcippe abyssinica (Rüppell, 1840)	30	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sylviidae	5285	Pseudoalcippe	7342088	Pseudoalcippe abyssinica	7342089	NE
2480906	Ardeola ralloides (Scopoli, 1769)	2480906	Ardeola ralloides (Scopoli, 1769)	94	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ardeola	2480901	Ardeola ralloides	2480906	LC
2492804	Cisticola galactotes (Temminck, 1821)	2492804	Cisticola galactotes (Temminck, 1821)	29	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cisticolidae	9293	Cisticola	2492786	Cisticola galactotes	2492804	LC
8248237	Saxicola rubicola rubicola	8248237	Saxicola rubicola rubicola	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Muscicapidae	9322	Saxicola	2492516	Saxicola rubicola	4408759	
2474880	Lophotis gindiana (Oustalet, 1881)	2474880	Lophotis gindiana (Oustalet, 1881)	30	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Otidiformes	8708973	Otididae	9610	Lophotis	2474879	Lophotis gindiana	2474880	LC
2476041	Bucorvus leadbeateri (Vigors, 1825)	2476041	Bucorvus leadbeateri (Vigors, 1825)	43	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Bucerotiformes	716	Bucorvidae	5704	Bucorvus	2476040	Bucorvus leadbeateri	2476041	VU
2479955	Poicephalus cryptoxanthus (W.Peters, 1854)	2479955	Poicephalus cryptoxanthus (W.Peters, 1854)	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Poicephalus	2479946	Poicephalus cryptoxanthus	2479955	LC
2481010	Falco rupicoloides A.Smith, 1829	2481010	Falco rupicoloides A.Smith, 1829	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Falconiformes	7191407	Falconidae	5240	Falco	2480996	Falco rupicoloides	2481010	LC
2493613	Lonchura bicolor (Fraser, 1843)	2493613	Lonchura bicolor (Fraser, 1843)	91	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Lonchura	2493593	Lonchura bicolor	2493613	LC
5231215	Petronia pyrgita (Heuglin, 1862)	6100970	Gymnoris pyrgita (Heuglin, 1862)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passeridae	5264	Gymnoris	4845742	Gymnoris pyrgita	6100970	LC
6100947	Hylopsar purpureiceps (J.Verreaux & E.Verreaux, 1851)	6100947	Hylopsar purpureiceps (J.Verreaux & E.Verreaux, 1851)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Hylopsar	4845114	Hylopsar purpureiceps	6100947	LC
5227911	Francolinus coqui (A.Smith, 1836)	11251051	Campocolinus coqui (A.Smith, 1836)	24	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Galliformes	723	Phasianidae	9331	Campocolinus	11301485	Campocolinus coqui	11251051	LC
5229150	Vanellus senegallus (Linnaeus, 1766)	5229150	Vanellus senegallus (Linnaeus, 1766)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Vanellus	3242344	Vanellus senegallus	5229150	LC
2490695	Eremopterix leucopareia (Fischer & Reichenow, 1884)	2490695	Eremopterix leucopareia (Fischer & Reichenow, 1884)	111	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Alaudidae	7211	Eremopterix	2490688	Eremopterix leucopareia	2490695	LC
5228640	Apus horus (Heuglin, 1869)	5228640	Apus horus (Heuglin, 1869)	23	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Apus	2235048	Apus horus	5228640	LC
2492352	Pseudonigrita cabanisi (Fischer & Reichenow, 1884)	2492352	Pseudonigrita cabanisi (Fischer & Reichenow, 1884)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Passeridae	5264	Pseudonigrita	2492351	Pseudonigrita cabanisi	2492352	LC
2496865	Caprimulgus pectoralis Cuvier, 1816	2496865	Caprimulgus pectoralis Cuvier, 1816	14	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Caprimulgiformes	8510645	Caprimulgidae	5225	Caprimulgus	2496826	Caprimulgus pectoralis	2496865	LC
5228606	Rhaphidura sabini (J.E.Gray, 1829)	5228606	Rhaphidura sabini (J.E.Gray, 1829)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Apodiformes	1448	Apodidae	2993	Rhaphidura	2477147	Rhaphidura sabini	5228606	LC
2480480	Butastur rufipennis (Sundevall, 1850)	2480480	Butastur rufipennis (Sundevall, 1850)	8	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Butastur	2480476	Butastur rufipennis	2480480	LC
2486229	Nicator gularis Hartlaub & Finsch, 1870	2486229	Nicator gularis Hartlaub & Finsch, 1870	127	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Nicatoridae	6101076	Nicator	2486227	Nicator gularis	2486229	LC
2489268	Heteromyias albispecularis (Salvadori, 1876)	2489268	Heteromyias albispecularis (Salvadori, 1876)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Petroicidae	5265	Heteromyias	2489267	Heteromyias albispecularis	2489268	LC
2480850	Ixobrychus minutus (Linnaeus, 1766)	2480850	Ixobrychus minutus (Linnaeus, 1766)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Pelecaniformes	7190953	Ardeidae	3685	Ixobrychus	2480843	Ixobrychus minutus	2480850	LC
2493697	Amandava subflava (Vieillot, 1819)	2493697	Amandava subflava (Vieillot, 1819)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Amandava	2493695	Amandava subflava	2493697	LC
